line,1,2,3,4,5,6,7,8,9
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,1,0,0,0,0,0,0
5,2,0,0,0,0,0,0,0,0
6,0,0,1,0,0,0,0,0,0
7,0,2,0,0,0,0,0,0,0
8,0,0,0,0,1,0,0,0,0
9,1,1,0,0,0,0,0,0,0
10,1,0,0,0,0,0,1,0,0
11,0,1,0,0,1,0,0,0,0
12,2,1,0,0,0,0,0,0,0
13,1,0,1,0,1,0,0,0,0
14,1,2,0,1,0,0,0,0,0
15,1,1,1,0,0,0,0,0,0
16,2,3,0,0,0,0,0,0,0
17,2,2,0,0,0,0,0,0,0
18,1,0,0,1,0,0,1,0,0
19,3,2,0,0,0,0,0,0,0
20,5,1,1,0,0,0,0,0,0
21,4,3,0,0,0,0,0,0,0
22,2,1,0,0,0,1,0,0,0
23,7,2,0,0,0,0,0,0,0
24,3,1,0,1,0,1,0,0,0
25,4,2,0,0,0,0,0,0,0
26,3,2,0,0,0,0,0,1,0
27,5,0,0,2,0,0,0,0,0
28,4,2,2,0,0,0,0,0,0
29,5,1,2,0,0,0,0,0,0
30,4,5,0,0,0,0,0,0,0
31,3,2,1,0,0,0,0,0,0
32,5,1,2,1,0,0,0,0,0
33,7,2,2,0,0,0,0,0,0
34,4,4,2,0,0,0,0,0,0
35,5,2,1,2,0,0,0,0,0
36,3,3,0,0,2,0,0,0,0
37,11,2,0,0,0,0,0,0,0
38,4,1,2,1,1,0,0,0,0
39,4,2,0,0,1,1,0,0,0
40,6,6,0,0,0,0,0,0,0
41,7,3,1,1,0,0,0,0,0
42,4,0,5,1,0,0,0,0,0
43,5,4,2,0,0,0,0,0,0
44,7,1,2,0,0,0,1,0,0
45,4,2,1,2,0,0,1,0,0
46,6,1,3,0,2,0,0,0,0
47,9,3,0,2,0,0,0,0,0
48,8,3,1,0,0,0,0,0,0
49,10,1,0,0,1,0,1,0,0
50,9,3,1,2,0,0,0,0,0
51,6,2,0,2,1,0,0,0,1
52,5,5,1,1,0,0,0,0,0
53,1,4,4,0,0,0,0,1,0
54,12,0,2,1,0,0,0,0,0
55,7,3,1,2,0,0,0,0,0
56,6,2,4,0,0,0,0,0,0
57,7,6,0,1,1,0,0,0,0
58,6,3,3,3,0,0,0,0,0
59,9,5,1,1,0,0,0,0,0
60,6,3,0,1,1,0,1,0,0
61,8,6,1,1,1,0,0,0,0
62,13,0,2,1,1,0,0,0,0
63,7,5,1,0,0,0,1,0,0
64,6,5,3,1,1,0,0,0,0
65,8,4,2,1,2,0,0,0,0
66,14,3,1,0,1,0,0,0,0
67,7,2,1,3,2,0,0,0,0
68,7,5,1,1,1,1,0,0,0
69,6,4,1,0,2,0,1,0,0
70,7,6,3,2,0,0,0,0,0
