line,1x1,1x2,1x3,1x4,1x5,1x6,1x7,1x10,0x1,0x2,0x3,0x4,0x5,0x6,0x7,0x8,0x9
1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,-1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,-1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.250000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,-0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,-0.433333,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.400000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,-0.023810,-0.047619,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.571429,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,-0.142857,-0.285714,0.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.571429,0.000000,0.000000,0.625000,0.000000,0.000000,0.000000,0.000000
9,0.111111,0.222222,-0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.222222,0.000000,0.000000,-0.625000,0.000000,0.000000,0.000000,0.000000
10,0.088889,-0.222222,-0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,-0.011111,-0.222222,0.000000,0.000000,0.000000,0.000000,0.700000,0.000000,0.000000
11,-0.018182,0.181818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.100000,0.181818,0.000000,0.000000,0.454545,0.000000,-0.700000,0.000000,0.000000
12,-0.015152,-0.015152,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.166667,-0.015152,0.000000,0.000000,-0.454545,0.000000,0.000000,0.000000,0.000000
13,-0.012821,-0.012821,0.000000,-0.333333,0.000000,0.000000,0.000000,0.000000,-0.089744,-0.166667,0.230769,0.000000,0.384615,0.000000,0.000000,0.000000,0.000000
14,0.060440,-0.010989,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005495,0.285714,-0.230769,0.285714,-0.384615,0.000000,0.000000,0.000000,0.000000
15,-0.147619,0.123810,0.000000,0.266667,0.000000,0.000000,0.000000,0.000000,-0.004762,-0.152381,0.200000,-0.285714,0.000000,0.000000,0.000000,0.000000,0.000000
16,0.058333,0.108333,0.000000,-0.266667,0.000000,0.000000,0.000000,0.000000,0.058333,0.241667,-0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,-0.007353,-0.257353,0.176471,0.235294,0.000000,0.000000,0.000000,0.000000,-0.007353,-0.139706,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,-0.006536,0.104575,-0.176471,-0.235294,0.000000,0.000000,0.000000,0.000000,-0.062092,-0.235294,0.000000,0.222222,0.000000,0.000000,0.388889,0.000000,0.000000
19,0.099415,-0.222222,0.157895,0.000000,0.263158,0.000000,0.000000,0.000000,0.102339,0.210526,0.000000,-0.222222,0.000000,0.000000,-0.388889,0.000000,0.000000
20,0.089474,0.200000,-0.157895,0.000000,-0.263158,0.000000,0.000000,0.000000,0.092105,-0.110526,0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,-0.109524,-0.009524,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,-0.059524,0.185714,-0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,-0.099567,-0.099567,-0.142857,0.363636,0.000000,0.000000,0.000000,0.000000,-0.099567,-0.194805,0.000000,0.000000,0.000000,0.272727,0.000000,0.000000,0.000000
23,0.213439,-0.003953,0.130435,-0.363636,0.000000,0.000000,0.000000,0.000000,0.213439,0.083004,0.000000,0.000000,0.000000,-0.272727,0.000000,0.000000,0.000000
24,-0.137681,-0.003623,-0.005435,0.000000,0.000000,0.000000,0.000000,0.000000,-0.179348,-0.090580,0.000000,0.166667,0.000000,0.250000,0.000000,0.000000,0.000000
25,-0.006667,-0.083333,-0.005000,0.160000,0.000000,0.240000,0.000000,0.000000,0.035000,0.076667,0.000000,-0.166667,0.000000,-0.250000,0.000000,0.000000,0.000000
26,-0.083077,0.230769,-0.004615,-0.160000,0.000000,-0.240000,0.000000,0.000000,-0.044615,-0.006154,0.000000,0.000000,0.000000,0.000000,0.000000,0.307692,0.000000
27,0.071225,-0.082621,0.106838,0.000000,0.000000,0.000000,0.000000,0.000000,0.069801,-0.153846,0.000000,0.296296,0.000000,0.000000,0.000000,-0.307692,0.000000
28,-0.041005,0.137566,-0.115079,0.000000,0.000000,0.000000,0.000000,0.000000,-0.042328,0.142857,0.214286,-0.296296,0.000000,0.000000,0.000000,0.000000,0.000000
29,0.099754,-0.285714,-0.107143,0.137931,0.000000,0.206897,0.000000,0.000000,0.029557,-0.073892,-0.007389,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,-0.073563,0.266667,0.000000,-0.004598,0.000000,-0.206897,0.000000,0.000000,-0.039080,0.264368,-0.206897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,-0.036559,-0.266667,0.193548,-0.133333,0.161290,0.000000,0.225806,0.000000,-0.036559,-0.204301,0.096774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32,0.059476,0.125000,-0.006048,0.000000,-0.161290,0.000000,-0.225806,0.000000,0.059476,-0.066532,0.090726,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000
33,0.025568,0.178030,-0.187500,0.000000,0.000000,0.000000,0.000000,0.000000,0.055871,0.058712,-0.005682,-0.125000,0.000000,0.000000,0.000000,0.000000,0.000000
34,0.024064,-0.126560,0.088235,0.000000,0.000000,0.000000,0.000000,0.000000,-0.094474,0.114082,-0.005348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35,-0.005882,-0.119328,0.083193,0.000000,0.000000,0.000000,0.000000,0.000000,0.025210,-0.121008,-0.090756,0.228571,0.000000,0.000000,0.000000,0.000000,0.000000
36,-0.061111,-0.057143,-0.088095,0.111111,0.138889,0.000000,0.000000,0.000000,-0.059524,0.052381,-0.085714,-0.228571,0.277778,0.000000,0.000000,0.000000,0.000000
37,0.104354,0.108108,0.159910,-0.111111,-0.138889,0.000000,0.000000,0.000000,0.213964,-0.058559,0.000000,0.000000,-0.277778,0.000000,0.000000,0.000000,0.000000
38,-0.111664,-0.002845,-0.164296,0.000000,0.131579,0.000000,0.000000,0.000000,-0.192034,-0.055477,0.157895,0.105263,0.131579,0.000000,0.000000,0.000000,0.000000
39,-0.003374,-0.002699,-0.078947,0.000000,-0.003374,0.153846,0.000000,0.000000,-0.002699,0.049933,-0.157895,-0.105263,-0.003374,0.153846,0.000000,0.000000,0.000000
40,0.021795,0.047436,0.150000,0.100000,-0.128205,-0.153846,0.000000,0.000000,0.047436,0.197436,0.000000,0.000000,-0.128205,-0.153846,0.000000,0.000000,0.000000
41,-0.003659,0.142683,-0.076829,-0.100000,0.000000,0.000000,0.000000,0.000000,0.020732,-0.153659,0.073171,0.097561,0.000000,0.000000,0.000000,0.000000,0.000000
42,-0.003484,-0.149826,-0.001742,0.095238,0.000000,0.000000,0.000000,0.000000,-0.075494,-0.146341,0.283972,-0.002323,0.000000,0.000000,0.000000,0.000000,0.000000
43,-0.003322,-0.003322,-0.001661,-0.002215,0.116279,0.000000,0.000000,0.000000,0.021041,0.186047,-0.217608,-0.095238,0.000000,0.000000,0.000000,0.000000,0.000000
44,-0.025899,0.087738,-0.001586,-0.002114,-0.116279,0.000000,0.000000,0.000000,0.042812,-0.140592,-0.003171,0.000000,0.000000,0.000000,0.159091,0.000000,0.000000
45,0.086364,-0.227273,-0.068182,-0.002020,0.000000,0.133333,0.000000,0.000000,-0.070202,0.043434,-0.069697,0.177778,0.000000,0.000000,-0.003535,0.000000,0.000000
46,-0.047826,0.130435,0.130435,-0.088889,0.000000,-0.133333,0.000000,0.000000,0.041546,-0.045411,0.128986,-0.177778,0.217391,0.000000,-0.155556,0.000000,0.000000
47,-0.003238,0.082331,-0.066605,0.085106,0.000000,0.000000,0.000000,0.000000,0.061055,0.084181,-0.195652,0.170213,-0.217391,0.000000,0.000000,0.000000,0.000000
48,-0.086436,-0.004433,0.123670,-0.001773,0.104167,0.000000,0.000000,0.000000,-0.024823,-0.002660,0.062500,-0.170213,0.000000,0.000000,0.000000,0.000000,0.000000
49,0.100765,-0.085884,-0.065051,-0.083333,-0.002126,0.000000,0.000000,0.000000,0.037415,-0.084184,-0.062500,0.000000,0.102041,0.000000,0.142857,0.000000,0.000000
50,0.056735,-0.082449,-0.062449,0.160000,-0.102041,0.000000,0.000000,0.000000,-0.024082,0.079184,0.060000,0.160000,-0.102041,0.000000,-0.142857,0.000000,0.000000
51,-0.063137,-0.000784,0.116471,-0.160000,0.000000,0.000000,0.000000,0.000000,-0.062353,-0.041569,-0.060000,-0.003137,0.098039,0.000000,0.000000,0.000000,0.176471
52,-0.079940,0.037707,-0.003394,0.153846,0.096154,0.000000,0.000000,0.000000,-0.021493,0.113876,0.057692,-0.079940,-0.098039,0.000000,0.000000,0.000000,-0.176471
53,-0.020319,0.074020,-0.116473,-0.078374,-0.096154,0.113208,0.000000,0.000000,-0.077286,-0.041364,0.168723,-0.076923,0.000000,0.000000,0.000000,0.150943,0.000000
54,0.054507,0.145353,-0.056604,-0.075472,0.185185,-0.113208,0.000000,0.000000,0.203354,-0.150943,-0.115304,0.074074,0.000000,0.000000,0.000000,-0.150943,0.000000
55,-0.002020,-0.150842,0.000000,0.000000,-0.094276,0.218182,0.000000,0.000000,-0.094949,0.109091,-0.056566,0.071380,0.000000,0.000000,0.000000,0.000000,0.000000
56,-0.019805,-0.002597,0.107143,0.000000,-0.001623,-0.218182,0.000000,0.178571,-0.020130,-0.037662,0.159740,-0.145455,0.000000,0.000000,0.000000,0.000000,0.000000
57,0.051065,-0.072682,0.050752,0.140351,-0.089286,0.000000,0.000000,-0.178571,0.015664,0.139098,-0.214286,0.070175,0.087719,0.000000,0.000000,0.000000,0.000000
58,0.014822,0.102238,-0.054446,-0.140351,0.000000,0.000000,0.000000,0.000000,-0.019359,-0.107078,0.155172,0.136721,-0.087719,0.000000,0.000000,0.000000,0.000000
59,-0.002630,-0.070719,0.049094,0.067797,0.084746,0.000000,0.000000,0.000000,0.049094,0.066043,-0.104325,-0.139100,0.000000,0.000000,0.000000,0.000000,0.000000
60,-0.085876,-0.001695,-0.102542,0.065537,-0.001412,0.100000,0.000000,0.000000,-0.052542,-0.069492,-0.050847,-0.001130,0.083333,0.000000,0.116667,0.000000,0.000000
61,0.097268,0.031148,-0.000820,-0.002186,-0.083333,-0.100000,0.000000,0.000000,0.031148,0.096721,0.049180,-0.001093,-0.001366,0.000000,-0.116667,0.000000,0.000000
62,-0.034902,0.030143,-0.000793,-0.002115,0.080645,0.000000,0.000000,0.000000,0.078530,-0.196721,0.047594,-0.001058,-0.001322,0.000000,0.000000,0.000000,0.000000
63,-0.065540,-0.002560,-0.000768,-0.002048,-0.001280,0.095238,0.000000,0.000000,-0.098566,0.158730,-0.049155,-0.064516,-0.080645,0.000000,0.111111,0.000000,0.000000
64,0.092758,-0.096230,-0.000744,-0.001984,-0.001240,-0.095238,0.000000,0.000000,-0.017361,-0.002480,0.093006,0.062500,0.078125,0.000000,-0.111111,0.000000,0.000000
65,-0.017788,0.152885,0.045433,-0.125000,-0.078125,0.000000,0.000000,0.000000,0.029327,-0.033173,-0.048317,-0.000962,0.075721,0.000000,0.000000,0.000000,0.000000
66,-0.002098,-0.094172,0.044056,0.181818,0.000000,0.000000,0.000000,0.000000,0.089044,-0.032168,-0.046853,-0.061538,-0.078089,0.000000,0.000000,0.000000,0.000000
67,-0.046811,0.028042,-0.002035,-0.181818,0.000000,0.089552,0.000000,0.000000,-0.107644,-0.031208,-0.000678,0.179104,0.073496,0.000000,0.000000,0.000000,0.000000
68,0.057507,-0.061018,-0.046093,0.000000,0.073529,-0.001317,0.000000,0.000000,-0.001536,0.087357,-0.000658,-0.120281,-0.075724,0.088235,0.000000,0.000000,0.000000
69,-0.074595,0.027707,-0.001279,0.057971,-0.073529,0.085678,0.000000,0.000000,-0.015985,-0.031117,-0.000639,-0.058824,0.071398,-0.088235,0.101449,0.000000,0.000000
70,0.041822,0.112629,-0.001242,-0.000828,0.000000,-0.173913,0.000000,0.000000,0.013043,0.055487,0.085093,0.114286,-0.144928,0.000000,-0.101449,0.000000,0.000000
