line,1x1,1x2,1x3,1x4,1x5,1x6,1x7,1x10,0x1,0x2,0x3,0x4,0x5,0x6,0x7,0x8,0x9
1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.166667,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.142857,0.285714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.571429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.625000,0.000000,0.000000,0.000000,0.000000
9,0.111111,0.222222,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.222222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.700000,0.000000,0.000000
11,0.181818,0.181818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.181818,0.000000,0.000000,0.454545,0.000000,0.000000,0.000000,0.000000
12,0.166667,0.166667,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.166667,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,0.153846,0.153846,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.076923,0.000000,0.230769,0.000000,0.384615,0.000000,0.000000,0.000000,0.000000
14,0.214286,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.071429,0.285714,0.000000,0.285714,0.000000,0.000000,0.000000,0.000000,0.000000
15,0.066667,0.266667,0.000000,0.266667,0.000000,0.000000,0.000000,0.000000,0.066667,0.133333,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,0.125000,0.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.125000,0.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,0.117647,0.117647,0.176471,0.235294,0.000000,0.000000,0.000000,0.000000,0.117647,0.235294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,0.111111,0.222222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055556,0.000000,0.000000,0.222222,0.000000,0.000000,0.388889,0.000000,0.000000
19,0.210526,0.000000,0.157895,0.000000,0.263158,0.000000,0.000000,0.000000,0.157895,0.210526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.300000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.100000,0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,0.190476,0.190476,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.190476,0.285714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,0.090909,0.090909,0.000000,0.363636,0.000000,0.000000,0.000000,0.000000,0.090909,0.090909,0.000000,0.000000,0.000000,0.272727,0.000000,0.000000,0.000000
23,0.304348,0.086957,0.130435,0.000000,0.000000,0.000000,0.000000,0.000000,0.304348,0.173913,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,0.166667,0.083333,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.125000,0.083333,0.000000,0.166667,0.000000,0.250000,0.000000,0.000000,0.000000
